Provider_ID,SSPS,License_ID,License_Cert,Authority,Name,License_Starts,License_Expires,Phone,Email,Capacity,Ages,AgeFromMonths,AgeToMonths,EarlyAchieversStatus,Addr1,Addr2,Addr3,City,State,Zip,County,ServiceArea,Latitude,Longitude
576936,788407,905713,Licensed,DEL,A Bright Beginning,1/27/2011,,5093272080,abrightbeginning@yahoo.com,71,1 month to 13 years,1,156,Level 3,6415 N Wall,,,Spokane,WA,99208,Spokane,Region 1 Eastern,47.7167109,-117.422534
886295,608810,897723,Licensed,DEL,A Child's Journey School,11/8/2014,,4258205788,ms.linda@achildsjourneyschool.com,129,1 month to 7 years,1,84,Level 3,11711 124th Ave NE,,,Kirkland,WA,98034,King,Region 2 Northwest,47.7050665,-122.1770011
510974,622179,897665,Licensed,DEL,A Child's Life Learning Center Two,7/23/2010,,3607388960,ACLLC56@YAHOO.COM,21,12 months to 2 years 7 months,12,31,"Participating, not yet rated",3220 MERIDIAN ST,,,Bellingham,WA,98225,Whatcom,Region 2 Northwest,48.7734471,-122.4859995
155635,9809,910803,Licensed,DEL,A CHILDS LIFE LEARNING CENTER,10/10/1994,,3607388960,acllc56@yahoo.com,50,2 years to 6 years,24,72,"Participating, not yet rated",3210 MERIDIAN ST,,,BELLINGHAM,WA,98225,Whatcom,Region 2 Northwest,48.773153,-122.485496
669933,159246,775658,Licensed,DEL,A Childs Place Early Learning Center,1/11/2013,,5094534082,achildsplaceelc@aol.com,34,12 months to 13 years,12,156,"Participating, not yet rated",7 S. 7th Ave,,,Yakima,WA,98902,Yakima,Region 2 Northwest,46.59884,-120.5183465
275185,159234,672704,Licensed,DEL,A CHILDS PLACE TOPPPENISH,5/12/2003,,5098655100,achildsplace302@gmail.com,45,1 month to 12 years 11 months,1,155,"Participating, not yet rated",302 ASOTIN AVENUE,,,TOPPENISH,WA,98948,Yakima,Region 1 Eastern,46.380026,-120.312114
295375,507998,844815,Licensed,DEL,A COUNTRY GARDEN MONTESSORI,9/6/2005,,3608256668,acgmontessori@yahoo.com,20,2 years 6 months to 12 years,30,144,Level 3,38722 Enumclaw Black Diamd Rd,,,Enumclaw,WA,98022,King,Region 4 South King Co,47.254421,-121.989748
62901,732817,765850,Licensed,DEL,A HEART FOR THE HOME CHILDCARE,1/7/1996,,5099222177,aerickson@theintersection.info,94,1 month to 13 years,1,156,"Participating, not yet rated",905 N McDonald Rd,,,Spokane,WA,99216,Spokane,Region 1 Eastern,47.665749,-117.230347
700701,90742,719697,Licensed,DEL,A Kids World LLC,7/25/2012,,2538637316,hickman.cheryl.abby@gmail.com,35,12 months to 12 years,12,144,"Participating, not yet rated",Cheryl Hickman,725 Narrow Street,,Sumner,WA,98390,Pierce,Region 3 Southwest,47.200742,-122.244336
297283,627648,637778,Licensed,DEL,A PLACE FOR KIDS,1/1/2006,,2064174865,apfkchildcare@yahoo.com,80,1 month to 6 years,1,72,"Participating, not yet rated",A PLACE FOR KIDS,919 NE 185TH ST,,SHORELINE,WA,98155,King,Region 2 Northwest,47.7628798,-122.3193622
698769,134880,755670,Licensed,DEL,A PLACE FOR KIDS EARLY CHILDHOOD ACADEMY,11/1/2012,,4252524336,apfkchildcare@live.com,43,1 month to 6 years,1,72,"Participating, not yet rated",5101 WOODLAWN AVE,,,Everett,WA,98203,Snohomish,Region 2 Northwest,47.950715,-122.215257
302401,747658,708724,Licensed,DEL,A STEP AHEAD BILINGUAL LLC,8/1/2006,,3607560924,A_StepAhead@yahoo.com,27,12 months to 6 years,12,72,Level 3,1408 E SUNSET DR,,,BELLINGHAM,WA,98226,Whatcom,Region 2 Northwest,48.773093,-122.455043
249225,289162,837776,Licensed,DEL,A WORLD DISCOVERY,9/1/2004,,4253553180,AWDMS1@GMAIL.COM,54,2 years to 7 years,24,84,"Participating, not yet rated",10814 7TH AVE SE,,,EVERETT,WA,98208,Snohomish,Region 2 Northwest,47.899617,-122.223464
1282183,88957,1072841,Licensed,DEL,ABC Early Learning,10/1/2017,,5098865437,abc_earlylearningacademy@yahoo.com,58,1 month to 6 years,1,72,"Participating, not yet rated",324 Miller Street,,,Wenatchee,WA,98801,Chelan,Region 2 Northwest,47.4289555,-120.3255896
730868,199335,773673,Licensed,DEL,ABC Early Learning Academy,1/8/2013,,5098865437,ABC_EarlyLearningAcademy@yahoo.com,32,12 months to 7 years,12,84,"Participating, not yet rated",520 Valley Mall Parkway,,,East Wenatchee,WA,98802,Douglas,Region 2 Northwest,47.411056,-120.291907
961183,770566,1000708,Licensed,DEL,ABC Early Learning Academy - Wenatchee,7/29/2015,,5098815145,abc_earlylearningacademy@yahoo.com,47,12 months to 7 years,12,84,"Participating, not yet rated",200 Old Station Road,,,Wenatchee,WA,98801,Chelan,Region 2 Northwest,47.4609681,-120.3300775
568927,757283,970703,Licensed,DEL,ABC LEARNING CENTER - LYNNWOOD,11/16/2010,,4253617330,abclearningcenter@comcast.net,99,1 month to 13 years,1,156,"Participating, not yet rated","6815 196TH ST SW, SUITE C",,,Lynnwood,WA,98036,Snohomish,Region 2 Northwest,47.8217349,-122.325846
938216,764804,910705,Licensed,DEL,ABC LEARNING CENTER - MARYSVILLE,8/12/2015,,3603227117,abcmarysville@comcast.net,140,1 month to 13 years,1,156,"Participating, not yet rated",9315 STATE STREET SUITE A,,,Marysville,WA,98270,Snohomish,Region 2 Northwest,48.0804605,-122.1726806
775989,321729,838754,Licensed,DEL,ABC LEARNING CENTER - MUKILTEO,9/9/2013,,4252651300,abclearning@abcmukilteo.com,50,1 month to 7 years 11 months,1,95,"Participating, not yet rated",8601 MUKILTEO SPEEDWAY # 502,,,Mukilteo,WA,98275,Snohomish,Region 2 Northwest,47.9201309,-122.2998123
953189,773467,798855,Licensed,DEL,ABC LEARNING CENTER - SEATTLE HILL,8/12/2015,,4253168999,ABCMillCreek@comcast.net,97,1 month to 13 years,1,156,"Participating, not yet rated",5006 132ND ST SE,,,Everett,WA,98208,Snohomish,Region 2 Northwest,47.8771755,-122.1647038
144746,559826,1001660,Licensed,DEL,ABC PRESCHOOL AND DAYCARE,8/1/1993,,5098826526,abcpreschool.daycareinc@gmail.com,39,1 month to 13 years,1,156,"Participating, not yet rated",620 GRANDRIDGE ROAD,,,GRANDVIEW,WA,98930,Yakima,Region 1 Eastern,46.248501,-119.905431
83807,832850,890826,Licensed,DEL,ABC-VILLE LEARNING CENTER,12/27/1992,,5099249642,abcville@yahoo.com,75,12 months to 13 years,12,156,"Participating, not yet rated",524 N ARGONNE ST,,,SPOKANE VALLEY,WA,99212,Spokane,Region 1 Eastern,47.662399,-117.282394
